symbol,signals,n_signals,holding_days,regime,n,win_rate,mean_return
BTCUSDT,rsi,1,1,bull,0,,
BTCUSDT,rsi,1,1,bear,130,0.5923,0.008672
BTCUSDT,rsi,1,1,sideways,18,0.6111,0.019299
BTCUSDT,rsi,1,1,all,183,0.5792,0.007818
BTCUSDT,rsi,1,3,bull,0,,
BTCUSDT,rsi,1,3,bear,130,0.6077,0.01232
BTCUSDT,rsi,1,3,sideways,18,0.6667,0.05056
BTCUSDT,rsi,1,3,all,183,0.6175,0.01523
BTCUSDT,rsi,1,7,bull,0,,
BTCUSDT,rsi,1,7,bear,130,0.5769,0.019074
BTCUSDT,rsi,1,7,sideways,18,0.7778,0.10908
BTCUSDT,rsi,1,7,all,183,0.5847,0.026059
BTCUSDT,bollinger,1,1,bull,4,0.25,-0.0186
BTCUSDT,bollinger,1,1,bear,84,0.5595,0.004478
BTCUSDT,bollinger,1,1,sideways,74,0.5676,-0.004848
BTCUSDT,bollinger,1,1,all,173,0.5607,-0.000307
BTCUSDT,bollinger,1,3,bull,4,0.25,-0.019779
BTCUSDT,bollinger,1,3,bear,84,0.4881,-0.00907
BTCUSDT,bollinger,1,3,sideways,74,0.5676,0.007043
BTCUSDT,bollinger,1,3,all,173,0.5318,-0.000588
BTCUSDT,bollinger,1,7,bull,4,0.75,0.043258
BTCUSDT,bollinger,1,7,bear,84,0.5119,-0.008577
BTCUSDT,bollinger,1,7,sideways,74,0.6216,0.026168
BTCUSDT,bollinger,1,7,all,173,0.5665,0.008917
BTCUSDT,drop3,1,1,bull,139,0.6115,0.004248
BTCUSDT,drop3,1,1,bear,147,0.5578,0.008387
BTCUSDT,drop3,1,1,sideways,177,0.5424,-0.001197
BTCUSDT,drop3,1,1,all,502,0.5637,0.002774
BTCUSDT,drop3,1,3,bull,139,0.6475,0.016146
BTCUSDT,drop3,1,3,bear,147,0.5986,0.015564
BTCUSDT,drop3,1,3,sideways,177,0.5198,-0.005296
BTCUSDT,drop3,1,3,all,502,0.5797,0.005993
BTCUSDT,drop3,1,7,bull,139,0.6259,0.037369
BTCUSDT,drop3,1,7,bear,147,0.619,0.022281
BTCUSDT,drop3,1,7,sideways,177,0.5085,-0.003779
BTCUSDT,drop3,1,7,all,502,0.5677,0.014062
BTCUSDT,vol_spike,1,1,bull,128,0.5781,0.011063
BTCUSDT,vol_spike,1,1,bear,41,0.5122,0.007021
BTCUSDT,vol_spike,1,1,sideways,78,0.5256,-0.001744
BTCUSDT,vol_spike,1,1,all,261,0.5479,0.005749
BTCUSDT,vol_spike,1,3,bull,128,0.6875,0.024556
BTCUSDT,vol_spike,1,3,bear,41,0.4878,0.007776
BTCUSDT,vol_spike,1,3,sideways,78,0.5769,0.00256
BTCUSDT,vol_spike,1,3,all,261,0.6207,0.014683
BTCUSDT,vol_spike,1,7,bull,128,0.7188,0.045136
BTCUSDT,vol_spike,1,7,bear,41,0.439,-0.000162
BTCUSDT,vol_spike,1,7,sideways,78,0.5385,0.005706
BTCUSDT,vol_spike,1,7,all,261,0.6169,0.024359
BTCUSDT,rsi+bollinger,2,1,bull,0,,
BTCUSDT,rsi+bollinger,2,1,bear,52,0.5577,0.009076
BTCUSDT,rsi+bollinger,2,1,sideways,14,0.6429,0.027507
BTCUSDT,rsi+bollinger,2,1,all,73,0.5753,0.011316
BTCUSDT,rsi+bollinger,2,3,bull,0,,
BTCUSDT,rsi+bollinger,2,3,bear,52,0.4808,-0.001321
BTCUSDT,rsi+bollinger,2,3,sideways,14,0.7857,0.068349
BTCUSDT,rsi+bollinger,2,3,all,73,0.5616,0.014978
BTCUSDT,rsi+bollinger,2,7,bull,0,,
BTCUSDT,rsi+bollinger,2,7,bear,52,0.4808,-0.001254
BTCUSDT,rsi+bollinger,2,7,sideways,14,0.8571,0.136546
BTCUSDT,rsi+bollinger,2,7,all,73,0.5753,0.028546
BTCUSDT,rsi+drop3,2,1,bull,0,,
BTCUSDT,rsi+drop3,2,1,bear,54,0.6111,0.016854
BTCUSDT,rsi+drop3,2,1,sideways,10,0.7,0.039065
BTCUSDT,rsi+drop3,2,1,all,77,0.6104,0.015629
BTCUSDT,rsi+drop3,2,3,bull,0,,
BTCUSDT,rsi+drop3,2,3,bear,54,0.5556,0.020589
BTCUSDT,rsi+drop3,2,3,sideways,10,0.8,0.06539
